d1_or_not,primary_position,height,weight,sixty_time,of_velo,player_region,exit_velo_max,throwing_hand,hitting_handedness
0,OF,73.0,175.0,7.182318687438965,,South,98.32036590576172,R,R
0,OF,73.0,180.0,6.91,91.0,West,91.2,R,R
0,OF,74.0,200.0,7.302775382995605,,South,86.71680450439453,R,R
0,OF,68.0,180.0,7.413432598114014,84.0,South,91.5,R,L
1,OF,73.0,192.0,6.59,98.0,West,101.9,R,R
0,OF,70.0,185.0,7.3,85.0,Northeast,91.0,R,R
0,OF,70.0,180.0,6.83,86.0,South,92.5,L,L
0,OF,69.0,175.0,7.04,88.0,Midwest,102.3,R,R
1,OF,68.0,170.0,6.72,78.0,South,92.0,R,L
0,OF,70.0,195.0,7.061248302459717,,West,89.5605239868164,L,L
0,OF,70.0,170.0,7.692345142364502,,Northeast,78.41856384277344,L,L
1,OF,72.0,195.0,6.82,92.0,Midwest,102.1,R,R
0,OF,71.0,178.6,6.83,74.0,South,92.0,L,L
1,OF,75.0,190.0,7.5,92.0,South,93.69223022460938,R,L
0,OF,72.0,190.0,7.61,79.0,Midwest,86.1,L,L
1,OF,66.0,160.0,6.59,86.0,South,93.0,R,R
1,OF,69.0,165.0,7.29,84.0,South,89.8,L,L
0,OF,70.0,140.0,7.497785091400147,,Midwest,101.10446166992188,L,L
1,OF,70.0,180.0,7.16,79.0,South,99.4,R,R
0,OF,72.0,200.0,7.71,86.0,South,92.9,R,R
1,OF,71.0,165.0,6.62,82.0,West,97.4,L,L
0,OF,75.0,175.0,7.16,78.0,Midwest,83.9,L,L
0,OF,72.0,175.0,6.93745756149292,,West,100.6883773803711,R,L
0,OF,71.0,170.0,7.01,91.0,South,91.7,R,R
1,OF,70.0,170.0,6.6,92.0,Northeast,95.0,R,R
0,OF,70.0,165.0,6.74,82.0,Midwest,95.6,R,R
0,OF,70.0,145.0,6.87,73.0,Midwest,74.0,R,L
1,OF,71.0,185.0,7.068282127380371,,Midwest,95.39008331298828,L,R
0,OF,72.0,160.0,7.41,81.0,Midwest,86.4,L,L
1,OF,75.0,205.0,6.78,93.0,Northeast,96.0,R,R
1,OF,69.0,135.0,6.816062927246094,,South,100.30404663085938,R,R
0,OF,74.0,190.0,6.96,80.0,Midwest,87.9,R,R
0,OF,71.0,130.0,7.811049461364746,,South,89.67032623291016,R,R
0,OF,76.0,175.0,6.57,82.0,West,91.6,R,R
0,OF,69.0,151.0,7.06,79.0,Northeast,86.0,L,L
0,OF,68.0,165.0,7.82,72.0,Northeast,87.6,L,L
0,OF,71.0,165.0,7.26,81.0,Midwest,94.0,R,L
0,OF,71.0,151.0,7.5,79.0,South,91.0,R,L
0,OF,74.0,195.0,6.92,88.0,Midwest,95.7,R,R
0,OF,71.0,185.0,7.69,,South,71.0,R,R
0,OF,72.0,185.0,7.459966659545898,,Midwest,96.54913330078124,R,R
1,OF,70.0,165.0,6.73,73.0,Northeast,88.8,R,L
0,OF,71.0,155.0,7.42,89.0,West,97.0,R,R
0,OF,69.0,170.0,7.34,79.0,South,92.3,R,R
0,OF,70.0,165.0,7.177478313446045,,Midwest,92.60604095458984,L,R
0,OF,67.0,151.0,6.82,86.0,South,92.3,R,R
1,OF,72.0,170.0,6.81,84.0,South,92.1,L,L
0,OF,72.0,185.0,7.015000343322754,,South,97.97283172607422,R,R
1,OF,68.0,165.0,6.56,90.0,South,92.6,R,L
1,OF,73.0,192.0,7.29,86.0,South,96.5,R,L
1,OF,72.0,186.0,6.91,87.0,South,92.5,L,L
0,OF,72.0,170.0,7.0,88.0,Midwest,91.5,R,R
0,OF,74.0,170.0,7.45,81.0,Midwest,86.0,R,R
0,OF,66.0,153.7,7.33,80.0,South,84.1,L,L
0,OF,68.0,160.9,7.35,83.0,Northeast,86.1,R,R
0,OF,69.0,143.0,7.05,77.0,South,91.31375122070312,R,R
1,OF,71.0,185.0,6.89,,South,90.1,R,R
