p4_or_not,primary_position,height,weight,sixty_time,c_velo,pop_time,player_region,exit_velo_max,throwing_hand,hitting_handedness
0,C,72.0,193.0,7.46,79.0,1.9,Midwest,96.5,R,R
1,C,74.0,210.0,7.26,74.0,2.1,West,96.7,R,L
0,C,70.0,205.0,6.98,80.0,2.0,Midwest,97.5,R,R
0,C,74.0,215.0,7.81,74.0,2.1,West,99.4,R,S
0,C,69.0,180.0,7.03,75.0,2.1,Northeast,93.5,R,L
1,C,73.0,180.0,6.84,86.0,1.9,Midwest,94.0,R,L
0,C,74.0,180.0,6.848996162414551,72.0,2.2,West,98.84675598144533,R,L
0,C,74.0,205.0,7.02,85.0,2.0,Midwest,101.8,R,R
0,C,72.0,204.0,6.77,76.0,2.0,South,96.4,R,R
1,C,74.0,205.0,7.21,77.0,2.0,South,90.0,R,R
0,C,69.0,210.0,7.79,76.0,2.0,West,92.1,R,L
0,C,70.0,170.0,7.12,78.0,2.0,South,87.0,R,L
0,C,73.0,167.0,7.62,72.0,2.1,South,90.5,R,R
0,C,71.0,190.0,8.18,76.0,2.1,Northeast,85.0,R,L
0,C,70.0,170.0,7.79,77.0,2.0,Northeast,91.1,R,R
0,C,71.0,180.0,7.82,73.0,2.2,Northeast,92.3,R,L
0,C,75.0,210.0,7.31,82.0,2.1,South,97.8,R,R
1,C,73.0,190.0,7.34,78.0,2.1,South,92.6,R,R
0,C,70.0,185.0,7.03,83.0,1.9,Midwest,96.4,R,R
1,C,72.0,185.0,7.17,75.0,2.0,Northeast,93.6,R,R
1,C,72.0,197.0,7.19,82.0,1.9,South,101.1,R,R
0,C,75.0,205.0,7.57,81.0,2.0,South,95.7,R,R
1,C,72.0,190.0,7.276086330413818,79.0,2.1,South,92.1,R,R
1,C,72.0,194.0,7.13,82.0,1.9,Midwest,103.4,R,R
0,C,68.0,165.0,7.09,78.0,2.0,Northeast,92.6,R,R
1,C,74.0,189.2,7.32,80.0,1.9,West,98.3,R,L
1,C,73.0,192.0,6.99,81.0,1.9,Midwest,102.4,R,L
0,C,74.0,190.0,7.47,79.0,2.1,South,93.0,R,L
0,C,74.0,200.0,7.66,70.0,2.1,South,85.0,R,R
0,C,70.0,200.0,7.07,78.0,1.9,West,96.6,R,R
0,C,71.0,158.0,7.25,74.0,2.1,Northeast,84.0,R,L
0,C,69.0,185.0,7.54,73.0,2.0,South,81.0,R,R
0,C,70.0,180.0,7.27,85.0,1.9,Midwest,96.8,R,R
0,C,72.0,190.0,7.33,83.0,1.9,South,95.9,R,S
0,C,72.0,190.0,7.28,78.0,1.9,Northeast,93.3,R,R
0,C,70.0,172.0,7.29,73.0,2.1,South,84.0,R,L
0,C,70.0,195.0,6.99,80.0,1.9,Midwest,100.8,R,R
1,C,74.0,205.0,7.557046413421631,74.0,2.1,Northeast,94.5,R,R
0,C,72.0,200.0,7.44,77.0,2.0,Northeast,88.0,L,R
0,C,67.0,155.0,6.54,79.0,2.1,Midwest,94.7,R,L
1,C,71.0,180.0,6.81,78.0,2.0,Northeast,89.4,R,R
0,C,73.0,180.0,6.79,77.0,2.0,Northeast,92.2,R,R
1,C,73.0,205.0,6.94,85.0,1.9,Northeast,102.3,R,R
0,C,72.0,200.0,7.51,73.0,2.3,Midwest,95.7,R,R
0,C,73.0,220.0,7.382204532623291,76.0,1.9,Northeast,83.0,R,R
1,C,75.0,217.0,7.26,82.0,1.9,South,97.3,R,R
0,C,71.0,201.0,7.35,78.0,2.0,South,99.1,R,R
0,C,72.0,195.0,7.21,75.0,2.0,Midwest,95.0,R,R
0,C,72.0,185.0,7.24,80.0,2.0,Northeast,93.4,R,R
