d1_or_not,primary_position,height,weight,sixty_time,c_velo,pop_time,player_region,exit_velo_max,throwing_hand,hitting_handedness
0,C,68.0,175.3,7.65,75.0,2.1,Northeast,88.0,R,R
1,C,74.0,215.0,7.26,79.0,1.9,South,94.5,R,R
0,C,70.0,165.0,6.91,68.0,2.2,West,93.2,R,R
0,C,75.0,215.0,6.89,76.0,2.0,South,103.7,R,R
1,C,71.0,190.0,8.0,73.0,2.1,South,88.1,R,L
1,C,73.0,210.0,7.38,76.0,1.9,South,98.0,R,R
0,C,69.0,200.0,7.59,77.0,2.0,Northeast,97.6,R,R
0,C,71.0,165.0,7.1,68.0,2.2,West,94.4,R,S
0,C,72.0,200.0,6.94,82.0,1.9,Midwest,97.2,R,R
0,C,71.0,175.0,7.12,79.0,2.1,South,96.0,R,R
1,C,76.0,215.0,7.23,81.0,1.9,South,95.8,R,R
0,C,68.0,140.0,7.27,70.0,2.2,West,85.0,R,L
1,C,73.0,226.0,7.61,79.0,2.0,West,101.1,R,L
1,C,73.0,220.0,7.397289752960205,80.0,2.0,South,98.4,R,R
1,C,73.0,193.0,7.4,79.0,2.0,South,95.7,R,R
0,C,73.0,185.0,6.83,80.0,1.9,Midwest,96.0,R,R
1,C,72.0,190.9,6.85,81.0,2.0,Northeast,95.0,R,R
0,C,69.0,163.0,7.75,69.0,2.2,Northeast,81.0,R,R
0,C,69.0,190.0,7.22,73.0,2.1,South,96.3,R,R
0,C,72.0,185.0,6.9,77.0,2.0,West,88.6,R,R
0,C,70.0,170.0,7.38,77.0,2.1,South,88.2,R,R
0,C,71.0,180.0,6.74,82.0,2.0,South,98.6,R,R
0,C,75.0,190.0,7.25,77.0,2.0,South,93.6,R,R
1,C,73.0,208.0,7.16,81.0,2.0,Midwest,100.7,R,L
0,C,70.0,160.0,7.66,72.0,2.0,West,87.7,R,L
0,C,71.0,190.0,7.7,71.0,2.4,Midwest,85.2,R,R
0,C,69.0,155.0,7.14,67.0,2.2,Northeast,81.2,R,R
0,C,71.0,180.0,7.21,82.0,2.1,Midwest,98.0,R,R
0,C,70.0,190.0,7.45,77.0,2.0,South,95.4,R,R
0,C,69.0,185.0,8.13,71.0,2.2,Midwest,92.2,R,R
1,C,74.0,220.0,6.91,84.0,1.9,South,103.2,R,R
1,C,71.0,185.0,7.64,73.0,2.3,Midwest,90.0,R,L
0,C,70.0,185.0,7.35,71.0,2.2,South,94.3,R,R
0,C,70.0,170.0,7.68,68.0,2.4,West,77.0,R,R
1,C,68.0,150.0,7.53,69.0,2.1,South,81.0,R,R
0,C,72.0,195.0,7.37,77.0,2.0,South,89.0,R,R
0,C,74.0,215.0,7.64,74.0,2.2,Midwest,90.1,R,L
0,C,71.0,181.9,7.23,73.0,2.0,Midwest,96.7,R,R
1,C,71.0,190.0,7.87,77.0,2.0,Midwest,92.5,R,R
1,C,70.0,175.0,7.12,79.0,2.1,Midwest,91.1,R,R
0,C,74.0,205.0,7.52,76.0,2.0,South,100.4,R,R
1,C,72.0,220.0,6.93,77.0,2.0,South,95.0,R,R
0,C,71.0,190.0,7.68,76.0,2.1,Midwest,93.7,R,R
1,C,73.0,155.0,7.71,71.0,2.0,West,87.4,R,R
0,C,74.0,195.0,7.3,82.0,2.0,Midwest,98.4,R,R
0,C,74.0,215.0,7.68,77.0,2.0,Midwest,88.5,R,R
1,C,74.0,180.0,7.03,78.0,1.9,Midwest,85.3,R,R
0,C,68.0,180.0,7.19,79.0,2.1,West,92.8,R,R
